"sexo","salario_anual","estado_civil","escolaridade","limite_credito","valor_transacoes_12m","classelimite_credito","classevalor_transacoes_12m"
"F","menos que $40K","solteiro","mestrado","8256.96","1291.45","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","3418.56","1887.72","limite de crédito médio para baixo","volume de transação média para alta"
"M","$40K - $60K","casado","mestrado","4010.69","1088.07","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","11656.41","1441.73","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","solteiro","graduacao","11751.09","1539.95","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","na","mestrado","8547.74","1311.48","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2436.0","1570.23","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","doutorado","30367.57","1671.12","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","casado","mestrado","14470.78","1207.79","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","divorciado","doutorado","20979.05","1178.72","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","1438.73","692.25","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","7768.43","1052.0","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","8923.23","1589.11","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","2650.38","1411.63","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","12555.16","1291.68","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","graduacao","3520.61","1407.71","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","3035.78","1877.05","limite de crédito médio para baixo","volume de transação média para alta"
"F","$40K - $60K","na","mestrado","3672.19","1464.46","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","doutorado","7882.47","704.78","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","32426.29","1109.51","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","solteiro","graduacao","17304.68","1756.0","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","solteiro","mestrado","9830.13","1042.8","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","2283.59","1741.52","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","casado","doutorado","2548.58","1719.18","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","graduacao","4745.36","1140.09","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","1438.08","705.59","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","mestrado","15769.34","602.6","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","na","mestrado","3298.68","1052.4","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","2802.32","1295.77","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","mestrado","6273.36","1359.02","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","34516.6","691.1","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","solteiro","doutorado","23957.43","1276.73","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","6585.0","1353.02","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","1687.32","1670.43","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","doutorado","25300.81","837.74","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","solteiro","mestrado","34516.09","1550.71","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2216.16","1540.51","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","na","mestrado","2910.05","1256.06","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","solteiro","graduacao","24312.55","1341.81","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","5272.7","1289.65","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","7000.35","1112.55","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","divorciado","mestrado","2536.0","1468.07","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","28904.11","1334.19","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","8567.99","1457.17","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","mestrado","10133.91","1068.99","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","divorciado","mestrado","34516.4","1590.14","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","3085.37","1531.13","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","solteiro","mestrado","6576.08","1465.89","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","2664.65","1286.1","limite de crédito médio para baixo","volume de transação média para baixa"
"M","menos que $40K","casado","mestrado","1709.75","1673.96","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","casado","mestrado","3454.88","1313.57","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","casado","doutorado","3789.07","1609.8","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","graduacao","9689.42","1158.65","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","solteiro","graduacao","23032.31","1289.53","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","casado","mestrado","2940.23","1259.6","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","3031.74","1298.42","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","8358.36","1566.92","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","solteiro","doutorado","34516.7","1022.13","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","8466.12","1342.04","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","13551.14","1388.92","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","18886.97","1235.27","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","24159.65","1111.64","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","solteiro","mestrado","34516.18","1064.06","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","3174.61","1243.37","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","solteiro","graduacao","34516.86","1268.11","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","solteiro","mestrado","2926.27","1304.88","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","solteiro","mestrado","32090.2","1368.9","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","11669.07","720.82","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2393.25","978.8","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","19270.57","1566.0","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","3710.96","1578.98","limite de crédito médio para baixo","volume de transação média para baixa"
"M","menos que $40K","solteiro","doutorado","3235.89","1493.12","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","solteiro","mestrado","11749.97","1178.37","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","divorciado","graduacao","10408.7","2560.79","limite de crédito médio para alto","volume de transação média para alta"
"F","na","casado","graduacao","3967.48","1657.84","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","doutorado","6205.29","1204.63","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","14926.65","1576.74","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","6335.1","1217.14","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","solteiro","graduacao","14979.44","530.36","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","2250.44","1617.31","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","mestrado","10916.64","1592.13","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","casado","mestrado","5349.05","1343.87","limite de crédito médio para baixo","volume de transação média para baixa"
"M","na","casado","mestrado","13860.22","1910.36","limite de crédito médio para alto","volume de transação média para alta"
"F","$40K - $60K","solteiro","mestrado","18386.59","1298.55","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","2154.12","1439.28","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","doutorado","9364.93","1099.88","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","divorciado","mestrado","3195.43","1285.54","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","solteiro","graduacao","4224.05","1152.5","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","32975.61","597.86","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","divorciado","mestrado","10400.82","1105.44","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","3006.0","1661.15","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","11106.73","1243.58","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","3380.75","1502.84","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","21331.23","1460.6","limite de crédito médio para alto","volume de transação média para baixa"
